RegionID,B,G,R,hex_color
1,208,208,176,#b0d0d0
2,240,240,208,#d0f0f0
3,176,176,144,#90b0b0
4,144,176,176,#b0b090
5,240,240,240,#f0f0f0
6,240,240,208,#d0f0f0
7,240,240,240,#f0f0f0
8,208,208,208,#d0d0d0
9,112,112,144,#907070
10,80,80,112,#705050
11,80,112,112,#707050
12,80,112,112,#707050
13,48,48,48,#303030
14,80,80,80,#505050
15,80,80,112,#705050
16,80,112,112,#707050
17,112,112,144,#907070
18,80,112,112,#707050
19,112,112,144,#907070
20,80,112,112,#707050
21,80,80,80,#505050
22,80,80,80,#505050
23,80,80,112,#705050
24,80,80,80,#505050
25,48,48,80,#503030
26,80,80,112,#705050
27,80,80,80,#505050
28,112,112,112,#707070
29,240,240,240,#f0f0f0
30,240,240,240,#f0f0f0
31,240,240,240,#f0f0f0
32,240,240,240,#f0f0f0
33,240,240,208,#d0f0f0
34,240,240,208,#d0f0f0
35,240,240,208,#d0f0f0
36,240,240,208,#d0f0f0
37,208,208,208,#d0d0d0
38,112,144,144,#909070
39,144,144,176,#b09090
40,240,240,208,#d0f0f0
41,240,240,240,#f0f0f0
42,240,240,240,#f0f0f0
43,48,80,80,#505030
44,208,208,208,#d0d0d0
45,80,144,144,#909050
46,80,80,112,#705050
47,48,48,80,#503030
48,48,48,80,#503030
49,80,80,80,#505050
50,80,80,112,#705050
51,176,176,176,#b0b0b0
52,144,176,144,#90b090
53,240,240,240,#f0f0f0
54,176,176,176,#b0b0b0
55,240,240,240,#f0f0f0
56,240,240,240,#f0f0f0
57,80,80,80,#505050
58,80,80,112,#705050
59,48,80,80,#505030
60,80,80,80,#505050
61,48,80,80,#505030
62,80,80,80,#505050
63,240,240,208,#d0f0f0
64,80,80,112,#705050
65,240,240,240,#f0f0f0
66,240,240,208,#d0f0f0
67,240,240,240,#f0f0f0
68,240,240,240,#f0f0f0
69,240,240,240,#f0f0f0
70,240,240,240,#f0f0f0
71,240,240,240,#f0f0f0
72,144,144,144,#909090
73,240,240,208,#d0f0f0
74,240,240,208,#d0f0f0
75,240,240,208,#d0f0f0
76,80,80,112,#705050
77,80,112,112,#707050
78,176,176,176,#b0b0b0
79,48,48,48,#303030
80,144,144,144,#909090
81,48,48,48,#303030
82,240,240,240,#f0f0f0
83,240,240,240,#f0f0f0
84,48,48,48,#303030
85,80,80,80,#505050
86,80,80,80,#505050
87,48,48,48,#303030
88,80,80,112,#705050
89,80,80,112,#705050
90,80,80,112,#705050
91,80,80,112,#705050
92,240,240,208,#d0f0f0
93,112,112,144,#907070
94,48,48,48,#303030
95,240,240,208,#d0f0f0
96,80,112,144,#907050
97,240,240,240,#f0f0f0
98,48,48,80,#503030
99,80,80,80,#505050
100,240,240,240,#f0f0f0
101,112,112,144,#907070
102,176,176,176,#b0b0b0
103,208,208,208,#d0d0d0
104,80,80,80,#505050
105,48,48,80,#503030
106,240,240,240,#f0f0f0
107,80,80,80,#505050
108,240,240,240,#f0f0f0
109,80,80,80,#505050
110,80,80,80,#505050
111,80,80,80,#505050
112,80,80,80,#505050
113,240,240,240,#f0f0f0
114,208,240,208,#d0f0d0
115,240,240,240,#f0f0f0
116,240,240,208,#d0f0f0
117,240,240,240,#f0f0f0
118,80,112,112,#707050
119,80,80,80,#505050
120,240,240,208,#d0f0f0
121,80,80,112,#705050
122,240,240,240,#f0f0f0
123,240,208,208,#d0d0f0
124,240,240,240,#f0f0f0
125,112,144,144,#909070
126,80,80,112,#705050
127,48,48,48,#303030
128,80,80,80,#505050
129,80,80,80,#505050
130,240,240,208,#d0f0f0
131,240,240,240,#f0f0f0
132,80,112,112,#707050
133,176,176,176,#b0b0b0
134,240,240,240,#f0f0f0
135,80,144,144,#909050
136,48,48,80,#503030
137,112,112,144,#907070
138,80,80,80,#505050
139,240,240,240,#f0f0f0
140,80,80,112,#705050
141,240,240,208,#d0f0f0
142,144,176,144,#90b090
143,80,112,112,#707050
144,112,176,208,#d0b070
145,240,240,240,#f0f0f0
146,240,240,240,#f0f0f0
147,208,208,208,#d0d0d0
148,48,48,48,#303030
149,240,240,240,#f0f0f0
150,80,80,80,#505050
151,80,80,80,#505050
152,48,48,80,#503030
153,240,240,240,#f0f0f0
154,240,240,240,#f0f0f0
155,240,240,240,#f0f0f0
156,80,80,80,#505050
157,240,240,208,#d0f0f0
158,80,112,112,#707050
159,80,80,80,#505050
160,80,80,112,#705050
161,240,240,240,#f0f0f0
162,240,240,208,#d0f0f0
163,240,240,208,#d0f0f0
164,208,208,208,#d0d0d0
165,80,80,80,#505050
166,144,144,144,#909090
167,240,240,240,#f0f0f0
168,240,240,208,#d0f0f0
169,48,48,80,#503030
170,80,80,80,#505050
171,240,240,240,#f0f0f0
172,80,80,112,#705050
173,48,48,80,#503030
174,208,208,208,#d0d0d0
175,80,80,112,#705050
176,240,240,240,#f0f0f0
177,80,80,112,#705050
178,80,80,80,#505050
179,240,240,240,#f0f0f0
180,80,80,80,#505050
181,240,240,240,#f0f0f0
182,208,208,208,#d0d0d0
183,240,240,208,#d0f0f0
184,48,48,48,#303030
185,80,80,80,#505050
186,240,240,208,#d0f0f0
187,80,80,80,#505050
188,240,240,240,#f0f0f0
189,240,240,240,#f0f0f0
190,80,80,80,#505050
191,80,80,80,#505050
192,48,48,48,#303030
193,80,80,112,#705050
194,240,240,240,#f0f0f0
195,80,80,80,#505050
196,240,240,240,#f0f0f0
197,80,80,80,#505050
198,112,144,144,#909070
199,240,240,240,#f0f0f0
200,112,112,112,#707070
201,240,240,240,#f0f0f0
202,240,240,208,#d0f0f0
203,240,240,240,#f0f0f0
204,48,48,48,#303030
205,240,240,208,#d0f0f0
206,240,240,208,#d0f0f0
207,144,144,144,#909090
208,240,240,208,#d0f0f0
209,48,48,80,#503030
210,240,240,208,#d0f0f0
211,80,80,80,#505050
212,240,240,208,#d0f0f0
213,240,240,240,#f0f0f0
214,240,240,240,#f0f0f0
215,48,48,48,#303030
216,48,48,48,#303030
217,80,80,80,#505050
218,80,80,112,#705050
219,240,240,240,#f0f0f0
220,80,48,48,#303050
221,240,240,240,#f0f0f0
222,240,240,240,#f0f0f0
223,112,112,144,#907070
224,48,48,48,#303030
225,240,240,240,#f0f0f0
226,240,240,240,#f0f0f0
227,240,240,240,#f0f0f0
228,240,240,240,#f0f0f0
229,240,240,208,#d0f0f0
230,240,240,208,#d0f0f0
231,240,240,240,#f0f0f0
232,80,112,144,#907050
233,240,240,208,#d0f0f0
234,240,240,240,#f0f0f0
235,80,80,112,#705050
236,240,240,208,#d0f0f0
237,80,80,112,#705050
238,112,112,144,#907070
239,240,240,240,#f0f0f0
240,80,112,112,#707050
241,80,80,112,#705050
242,240,240,240,#f0f0f0
243,240,240,240,#f0f0f0
244,48,48,48,#303030
245,240,240,208,#d0f0f0
246,240,240,208,#d0f0f0
247,240,240,240,#f0f0f0
248,80,112,112,#707050
249,240,240,240,#f0f0f0
250,48,48,48,#303030
251,112,112,144,#907070
252,80,112,144,#907050
253,48,48,48,#303030
254,112,112,144,#907070
255,112,112,112,#707070
256,80,80,80,#505050
